,excluded_column,imbalanced_approach,imbalanced_input,scaler,learning_rate_init,alpha,batch_size,hidden_layer_sizes,activation,solver,prediction_threshold,duration,f1_score
180,none,resampling,SMOTETomek,power,0.001,0.01,16,"(256, 128, 64, 32)",relu,adam,0.89,89.0,69.0
181,none,resampling,SMOTETomek,power,0.001,0.01,16,"(256, 128, 64, 32)",relu,sgd,0.8200000000000001,155.0,69.0
182,none,resampling,SMOTETomek,power,0.001,0.01,16,"(256, 128, 64, 32)",relu,lbfgs,0.7000000000000001,123.0,59.0
183,none,resampling,SMOTETomek,power,0.001,0.01,16,"(256, 128, 64, 32)",tanh,adam,0.79,67.0,63.0
184,none,resampling,SMOTETomek,power,0.001,0.01,16,"(256, 128, 64, 32)",tanh,sgd,0.89,270.0,68.0
185,none,resampling,SMOTETomek,power,0.001,0.01,16,"(256, 128, 64, 32)",tanh,lbfgs,0.23,81.0,60.0
186,none,resampling,SMOTETomek,power,0.001,0.01,64,"(256, 128, 64, 32)",relu,adam,0.77,36.0,67.0
187,none,resampling,SMOTETomek,power,0.001,0.01,64,"(256, 128, 64, 32)",relu,sgd,0.85,73.0,68.0
188,none,resampling,SMOTETomek,power,0.001,0.01,64,"(256, 128, 64, 32)",relu,lbfgs,0.7000000000000001,126.0,59.0
189,none,resampling,SMOTETomek,power,0.001,0.01,64,"(256, 128, 64, 32)",tanh,adam,0.61,47.0,61.0
190,none,resampling,SMOTETomek,power,0.001,0.01,64,"(256, 128, 64, 32)",tanh,sgd,0.89,192.0,65.0
191,none,resampling,SMOTETomek,power,0.001,0.01,64,"(256, 128, 64, 32)",tanh,lbfgs,0.23,78.0,60.0
192,none,resampling,SMOTETomek,power,0.001,0.01,256,"(256, 128, 64, 32)",relu,adam,0.89,15.0,67.0
193,none,resampling,SMOTETomek,power,0.001,0.01,256,"(256, 128, 64, 32)",relu,sgd,0.87,61.0,65.0
194,none,resampling,SMOTETomek,power,0.001,0.01,256,"(256, 128, 64, 32)",relu,lbfgs,0.7000000000000001,132.0,59.0
195,none,resampling,SMOTETomek,power,0.001,0.01,256,"(256, 128, 64, 32)",tanh,adam,0.89,30.0,62.0
196,none,resampling,SMOTETomek,power,0.001,0.01,256,"(256, 128, 64, 32)",tanh,sgd,0.89,118.0,67.0
197,none,resampling,SMOTETomek,power,0.001,0.01,256,"(256, 128, 64, 32)",tanh,lbfgs,0.23,79.0,60.0
198,none,resampling,SMOTETomek,power,0.01,0.01,16,"(256, 128, 64, 32)",relu,adam,0.89,61.0,72.0
199,none,resampling,SMOTETomek,power,0.01,0.01,16,"(256, 128, 64, 32)",relu,sgd,0.8300000000000001,167.0,68.0
200,none,resampling,SMOTETomek,power,0.01,0.01,16,"(256, 128, 64, 32)",relu,lbfgs,0.7000000000000001,126.0,59.0
201,none,resampling,SMOTETomek,power,0.01,0.01,16,"(256, 128, 64, 32)",tanh,adam,0.89,56.0,62.0
202,none,resampling,SMOTETomek,power,0.01,0.01,16,"(256, 128, 64, 32)",tanh,sgd,0.77,179.0,65.0
203,none,resampling,SMOTETomek,power,0.01,0.01,16,"(256, 128, 64, 32)",tanh,lbfgs,0.23,74.0,60.0
204,none,resampling,SMOTETomek,power,0.01,0.01,64,"(256, 128, 64, 32)",relu,adam,0.89,24.0,65.0
205,none,resampling,SMOTETomek,power,0.01,0.01,64,"(256, 128, 64, 32)",relu,sgd,0.85,74.0,68.0
206,none,resampling,SMOTETomek,power,0.01,0.01,64,"(256, 128, 64, 32)",relu,lbfgs,0.7000000000000001,107.0,59.0
207,none,resampling,SMOTETomek,power,0.01,0.01,64,"(256, 128, 64, 32)",tanh,adam,0.89,26.0,60.0
208,none,resampling,SMOTETomek,power,0.01,0.01,64,"(256, 128, 64, 32)",tanh,sgd,0.67,89.0,62.0
209,none,resampling,SMOTETomek,power,0.01,0.01,64,"(256, 128, 64, 32)",tanh,lbfgs,0.23,73.0,60.0
210,none,resampling,SMOTETomek,power,0.01,0.01,256,"(256, 128, 64, 32)",relu,adam,0.81,10.0,66.0
211,none,resampling,SMOTETomek,power,0.01,0.01,256,"(256, 128, 64, 32)",relu,sgd,0.79,35.0,66.0
212,none,resampling,SMOTETomek,power,0.01,0.01,256,"(256, 128, 64, 32)",relu,lbfgs,0.7000000000000001,106.0,59.0
213,none,resampling,SMOTETomek,power,0.01,0.01,256,"(256, 128, 64, 32)",tanh,adam,0.89,18.0,67.0
214,none,resampling,SMOTETomek,power,0.01,0.01,256,"(256, 128, 64, 32)",tanh,sgd,0.66,82.0,63.0
215,none,resampling,SMOTETomek,power,0.01,0.01,256,"(256, 128, 64, 32)",tanh,lbfgs,0.23,74.0,60.0
216,none,resampling,ADASYN,power,0.001,0.001,16,"(16, 8)",relu,adam,0.89,23.0,60.0
217,none,resampling,ADASYN,power,0.001,0.001,16,"(16, 8)",relu,sgd,0.88,31.0,59.0
218,none,resampling,ADASYN,power,0.001,0.001,16,"(16, 8)",relu,lbfgs,0.8300000000000001,6.0,53.0
219,none,resampling,ADASYN,power,0.001,0.001,16,"(16, 8)",tanh,adam,0.76,29.0,54.0
220,none,resampling,ADASYN,power,0.001,0.001,16,"(16, 8)",tanh,sgd,0.88,36.0,60.0
221,none,resampling,ADASYN,power,0.001,0.001,16,"(16, 8)",tanh,lbfgs,0.79,13.0,56.0
222,none,resampling,ADASYN,power,0.001,0.001,64,"(16, 8)",relu,adam,0.87,7.0,58.0
223,none,resampling,ADASYN,power,0.001,0.001,64,"(16, 8)",relu,sgd,0.8400000000000001,11.0,55.0
224,none,resampling,ADASYN,power,0.001,0.001,64,"(16, 8)",relu,lbfgs,0.8300000000000001,6.0,53.0
225,none,resampling,ADASYN,power,0.001,0.001,64,"(16, 8)",tanh,adam,0.88,8.0,58.0
226,none,resampling,ADASYN,power,0.001,0.001,64,"(16, 8)",tanh,sgd,0.89,16.0,60.0
227,none,resampling,ADASYN,power,0.001,0.001,64,"(16, 8)",tanh,lbfgs,0.79,13.0,56.0
228,none,resampling,ADASYN,power,0.001,0.001,256,"(16, 8)",relu,adam,0.89,3.0,61.0
229,none,resampling,ADASYN,power,0.001,0.001,256,"(16, 8)",relu,sgd,0.87,6.0,55.0
230,none,resampling,ADASYN,power,0.001,0.001,256,"(16, 8)",relu,lbfgs,0.8300000000000001,6.0,53.0
