,excluded_column,imbalanced_approach,imbalanced_input,scaler,best_learning_rate_init,best_alpha,best_batch_size,best_hidden_layer_sizes,best_activation,best_solver,prediction_threshold,duration,f1_score
93,rotational_speed_rpm,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,12.0,65.0
94,rotational_speed_rpm,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,10.0,73.0
95,rotational_speed_rpm,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,14.0,66.0
96,torque_nm,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,8.0,65.0
97,torque_nm,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,12.0,66.0
98,torque_nm,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8400000000000001,8.0,67.0
99,torque_nm,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,12.0,61.0
100,torque_nm,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,11.0,60.0
101,torque_nm,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,11.0,73.0
102,tool_wear_min,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,12.0,70.0
103,tool_wear_min,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.85,7.0,70.0
104,tool_wear_min,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,13.0,65.0
105,tool_wear_min,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,7.0,69.0
106,tool_wear_min,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,8.0,65.0
107,tool_wear_min,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,7.0,69.0
108,power_w,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,9.0,70.0
109,power_w,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,9.0,70.0
110,power_w,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,9.0,71.0
111,power_w,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,13.0,72.0
112,power_w,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,8.0,65.0
113,power_w,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,7.0,63.0
114,delta_temp_k,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.81,8.0,51.0
115,delta_temp_k,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,12.0,72.0
116,delta_temp_k,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,10.0,49.0
117,delta_temp_k,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,7.0,69.0
118,delta_temp_k,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8400000000000001,8.0,40.0
119,delta_temp_k,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8300000000000001,7.0,68.0
120,wear_torque,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,8.0,64.0
121,wear_torque,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,9.0,72.0
122,wear_torque,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,8.0,64.0
123,wear_torque,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,7.0,71.0
124,wear_torque,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8,7.0,65.0
125,wear_torque,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,7.0,70.0
126,temp_air_and_delta,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,9.0,50.0
127,temp_air_and_delta,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,11.0,50.0
128,temp_air_and_delta,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,9.0,53.0
129,temp_air_and_delta,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,11.0,51.0
130,temp_air_and_delta,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,7.0,48.0
131,temp_air_and_delta,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8400000000000001,10.0,50.0
